ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
92,DISTRICT 19 - TEHACHAPI,CA1500485,ANTELOPE VALLEY MOBILE ESTATES,A,3/22/1979,KERN,GW ,P,C,C,60,R - MOBILE HOME PARK,28,SC   ,F_CD
93,DISTRICT 19 - TEHACHAPI,CA1500542,WILLOW SPRINGS MOBILE HOME PARK,A,7/27/1993,KERN,GW ,P,C,C,275,R - MOBILE HOME PARK,104,SC   ,F_CD
94,DISTRICT 19 - TEHACHAPI,CA1500571,KERN MOBILE ESTATES LLC,A,11/30/1981,KERN,GW ,P,C,C,73,R - MOBILE HOME PARK,60,SC   ,F_CD
95,DISTRICT 19 - TEHACHAPI,CA1502194,SIERRA VISTA RESTAURANT,A,3/22/1979,KERN,GW ,P,NC,NC,50,R - MOBILE HOME PARK,2,N1   ,F_CD
96,DISTRICT 19 - TEHACHAPI,CA1502232,ROSAMOND MOBILEHOME PARK,A,3/22/1979,KERN,GW ,P,C,C,175,R - MOBILE HOME PARK,79,DAVCS,F_CD
97,DISTRICT 19 - TEHACHAPI,CA1502247,DESERT BREEZE MOBILE HOME ESTATES,A,3/22/1979,KERN,GW ,P,C,C,82,R - MOBILE HOME PARK,63,SC   ,F_CD
98,DISTRICT 19 - TEHACHAPI,CA1502564,SIERRA MEADOWS,A,6/30/1983,KERN,GW ,P,C,C,68,R - MOBILE HOME PARK,51,SC   ,F_CD
99,DISTRICT 19 - TEHACHAPI,CA1502680,ORANGE GROVE RV PARK,A,12/3/1992,KERN,GW ,P,NC,NC,205,R - MOBILE HOME PARK,205,N1   ,F_CD
100,LPA46 - KINGS COUNTY,CA1600002,SUNSET VISTA ESTATES MHP,A,8/8/2016,KINGS,GW ,P,C,C,400,R - MOBILE HOME PARK,108,SC   ,F_CD
101,DISTRICT 03 - MENDOCINO,CA1700546,CLEAR WATER MUTUAL WATER COMPANY,A,3/22/1979,LAKE,SW ,P,C,C,252,R - MOBILE HOME PARK,89,DAVCS,F_CD
102,DISTRICT 03 - MENDOCINO,CA1700584,WESTWIND MOBILE HOME PARK,A,3/22/1979,LAKE,SW ,P,C,C,104,R - MOBILE HOME PARK,38,SC   ,F_CD
103,DISTRICT 03 - MENDOCINO,CA1700589,BLUE LAKES MOBILE HOME PARK,A,3/22/1979,LAKE,GW ,P,C,C,32,R - MOBILE HOME PARK,24,SC   ,F_CD
104,DISTRICT 03 - MENDOCINO,CA1700609,LAZY S MOBILE RANCH,A,8/18/2015,LAKE,SW ,P,C,C,73,R - MOBILE HOME PARK,24,SC   ,F_CD
